"BilledCost","BillingAccountId","BillingAccountName","BillingAccountType","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","CapacityReservationId","CapacityReservationStatus","ChargeCategory","ChargeClass","ChargeDescription","ChargePeriodEnd","ChargePeriodStart","CommitmentDiscountCategory","CommitmentDiscountId","CommitmentDiscountName","CommitmentDiscountQuantity","CommitmentDiscountStatus","CommitmentDiscountType","CommitmentDiscountUnit","ConsumedQuantity","ConsumedUnit","ContractedCost","ContractedUnitPrice","EffectiveCost","InvoiceIssuerName","ListCost","ListUnitPrice","PricingCategory","PricingCurrency","PricingQuantity","PricingUnit","ProviderName","PublisherName","RegionId","RegionName","ResourceId","ResourceName","ResourceType","ServiceCategory","ServiceName","SkuId","SkuMeter","SkuPriceDetails","SkuPriceId","SubAccountId","SubAccountName","SubAccountType","Tags","AvailabilityZone","ChargeFrequency","InvoiceId","ServiceSubcategory","PricingCurrencyContractedUnitPrice","PricingCurrencyEffectiveCost","PricingCurrencyListUnitPrice"
468.17049576,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Elastic Compute Cloud Virtual Machine in Europe (Ireland)","2024-09-10T13:00:00Z","2024-09-10T12:00:00Z","Spend","cd-343962","commit-3962",NULL,"Used","Committed Use Discount",NULL,370.3400000000,"Hours",767.492616,2.0724,468.17049576,"AWS",1009.880146,2.7269,"Other","USD",370.34,"Hours","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-00c9715656c4",NULL,"Virtual Machine","Compute","Amazon Elastic Compute Cloud","1VRJNVGFYGWWQC38","Amazon Elastic Compute Cloud Hours",NULL,"HYF9SXMECOSFOGYR.3XKXWNRE","517389287820","Atlas Nimbus","BillingAccount","{""cost_center"": ""CC-2042"", ""team"": ""growth"", ""environment"": ""prod""}",NULL,"Usage-Based",NULL,"Virtual Machines",2.0724,468.17049576,2.7269
299.14796912,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Azure Functions Function App in West Europe","2024-09-20T18:00:00Z","2024-09-20T17:00:00Z","Spend","cd-961722","commit-1722",NULL,"Unused","Savings Plan",NULL,NULL,NULL,328.734032,0.9554,299.14796912,"Microsoft",377.868656,1.0982,"Other","USD",344.08,"Executions","Microsoft","Microsoft","westeurope","West Europe","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-833/providers/Microsoft.Compute/virtualMachines/vm-7780",NULL,"Function App","Compute","Azure Functions","3JQIP98Q1ZXOI65F","Azure Functions Executions",NULL,"DHJK1EYY37Q9AH8R.VHS1K3AQ","sub-9a1f","Production","BillingProfile","{""cost_center"": ""CC-3090""}","uksouth-1","Usage-Based",NULL,"Serverless Compute",0.9554,299.14796912,1.0982
227.28753400000005,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Purchase",NULL,"Azure Functions Function App in East US","2024-09-13T18:00:00Z","2024-09-13T17:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,227.28753400000005,2.9738,0,"Microsoft",291.39701800000006,3.8126,"Standard","USD",76.43,"Executions","Microsoft","Microsoft","eastus","East US","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-725/providers/Microsoft.Compute/virtualMachines/vm-3759",NULL,"Function App","Compute","Azure Functions","HXTPDPFF5E8II49K","Azure Functions Executions",NULL,"Q71N8MTZX272HPOE.VB9OOAED","sub-4d3e","Sandbox","BillingProfile",NULL,NULL,"Recurring",NULL,"Serverless Compute",2.9738,0,3.8126
37.06098072,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Elastic Compute Cloud Virtual Machine in Europe (Ireland)","2024-09-22T23:00:00Z","2024-09-22T22:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,107.1300000000,"Hours",44.651784,0.4168,37.06098072,"AWS",70.877208,0.6616,"Dynamic","USD",107.13,"Hours","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-0025031b9f1a",NULL,"Virtual Machine","Compute","Amazon Elastic Compute Cloud","GDZVGPMM82I1LR3P","Amazon Elastic Compute Cloud Hours",NULL,"E29GD8AFPK054NZD.KYAYQ3S1","517389287820","Atlas Nimbus","BillingAccount","{""environment"": ""prod"", ""application"": ""NimbusAPI""}","ap-southeast-2a","Usage-Based",NULL,"Virtual Machines",0.4168,37.06098072,0.6616
37.01464657,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Object Storage Bucket in US East (Ashburn)","2024-09-10T07:00:00Z","2024-09-10T06:00:00Z","Spend","cd-994141","commit-4141",NULL,"Used","Reserved Instance",NULL,30.4900000000,"GB",46.853983,1.5367,37.01464657,"Oracle",47.811369,1.5681,"Committed","USD",30.49,"GB","Oracle","Oracle","us-ashburn-1","US East (Ashburn)","ocid1.instance.oc1.us-ashburn-1.007e84ad3a96",NULL,"Bucket","Storage","Oracle Object Storage","HPCF07UQNUPQZIT3","Oracle Object Storage GB",NULL,"UEA3GE8N6QIWEPXS.K28T7A9T","ocid1.compartment.oc1..dev","development","Tenancy","{""cost_center"": ""CC-1001""}",NULL,"Usage-Based",NULL,"Object Storage",1.5367,37.01464657,1.5681
111.02780094,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Credit",NULL,"Amazon Simple Storage Service Bucket in Europe (Ireland)","2024-09-05T14:00:00Z","2024-09-05T13:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127.618162,0.9058,111.02780094,"AWS",148.38534799999996,1.0532,"Standard","USD",140.89,"GB","AWS","AWS","eu-west-1","Europe (Ireland)",NULL,NULL,NULL,"Storage","Amazon Simple Storage Service","CAVIQK2919AHEJ8C","Amazon Simple Storage Service GB",NULL,"X9J1ICTXCWNPGW90.JPKL0BLV","517389287820","Atlas Nimbus","BillingAccount","{""application"": ""NimbusAPI"", ""owner"": ""k.johnson""}",NULL,"One-Time",NULL,"Object Storage",0.9058,111.02780094,1.0532
268.11049104,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Azure SQL Database SQL Database in West Europe","2024-09-05T15:00:00Z","2024-09-05T14:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,111.2200000000,"Hours",372.375682,3.3481,268.11049104,"Microsoft",454.11126,4.0830,"Dynamic","USD",111.22,"Hours","Microsoft","Microsoft","westeurope","West Europe","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-657/providers/Microsoft.Compute/virtualMachines/vm-6105",NULL,"SQL Database","Databases","Azure SQL Database","RW6Z8VBHQLQCG1WU","Azure SQL Database Hours",NULL,"16HYMQC1A78MX1EV.UHT6T0UZ","sub-4d3e","Sandbox","BillingProfile","{""owner"": ""g.hopper""}","westeurope-2","Usage-Based",NULL,"Relational Databases",3.3481,268.11049104,4.0830
361.21791199999996,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Purchase",NULL,"Azure Blob Storage Storage Account in UK South","2024-09-17T05:00:00Z","2024-09-17T04:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,361.21791199999996,1.1737,0,"Microsoft",463.11724799999996,1.5048,"Standard","USD",307.76,"GB","Microsoft","Microsoft","uksouth","UK South","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-135/providers/Microsoft.Compute/virtualMachines/vm-7976",NULL,"Storage Account","Storage","Azure Blob Storage","KFS6VFPTOMJBCP4E","Azure Blob Storage GB",NULL,"30MY5ZPJAG1OL73D.9PH3I379","sub-4d3e","Sandbox","BillingProfile","{""cost_center"": ""CC-2042"", ""business_unit"": ""LisbonOps"", ""team"": ""payments""}",NULL,"Recurring",NULL,"Object Storage",1.1737,0,1.5048
107.8996464,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Credit",NULL,"BigQuery Dataset in Northern Virginia","2024-09-07T19:00:00Z","2024-09-07T18:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118.57104,0.9149,107.8996464,"Google",160.22448,1.2363,"Dynamic","USD",129.60,"GiB","Google","Google","us-east4","Northern Virginia",NULL,NULL,NULL,"Analytics","BigQuery","RVU8FIJOYJNE00V8","BigQuery GiB",NULL,"30DN0YBY4AWTY088.O5OR15BY","proj-helios-dev","helios-dev","BillingAccount","{""team"": ""growth"", ""application"": ""BrightSourceCore""}",NULL,"One-Time",NULL,"Data Warehouses",0.9149,107.8996464,1.2363
732.7757514,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage","Correction","Oracle Object Storage Bucket in UK South (London)","2024-09-27T14:00:00Z","2024-09-27T13:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,295.9500000000,"GB",951.6568199999999,3.2156,732.7757514,"Oracle",981.0742499999999,3.3150,"Dynamic","USD",295.95,"GB","Oracle","Oracle","uk-london-1","UK South (London)","ocid1.instance.oc1.uk-london-1.008b7ea6465c",NULL,"Bucket","Storage","Oracle Object Storage","UVYR0QF4B8DWOECB","Oracle Object Storage GB",NULL,"PMBJPI4HN3QXKHKT.GBTYZMEP","ocid1.compartment.oc1..prod","production","Tenancy",NULL,"uk-london-1-AD-2","Usage-Based",NULL,"Object Storage",3.2156,732.7757514,3.3150
85.12676942,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Load Balancing Forwarding Rule in Iowa","2024-09-15T20:00:00Z","2024-09-15T19:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,34.4900000000,"Hours",110.554246,3.2054,85.12676942,"Google",111.671722,3.2378,"Standard","USD",34.49,"Hours","Google","Google","us-central1","Iowa","//compute.googleapis.com/projects/Helios Labs/zones/us-central1-a/instances/inst-8529",NULL,"Forwarding Rule","Networking","Cloud Load Balancing","R8431RUPFR2P3YVB","Cloud Load Balancing Hours",NULL,"5UL5NWQVRR9A7MFP.059P452B","proj-helios-prod","helios-prod","BillingAccount","{""owner"": ""g.hopper"", ""team"": ""infra""}","asia-southeast1-c","Usage-Based",NULL,"Application Networking",3.2054,85.12676942,3.2378
285.401962,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Purchase",NULL,"Cloud Storage Bucket in Northern Virginia","2024-09-14T02:00:00Z","2024-09-14T01:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,285.401962,1.0313,0,"Google",475.68838600000004,1.7189,"Dynamic","USD",276.74,"GiB","Google","Google","us-east4","Northern Virginia","//compute.googleapis.com/projects/Helios Labs/zones/us-east4-a/instances/inst-4841",NULL,"Bucket","Storage","Cloud Storage","8LMN4R7SGMSOXLTA","Cloud Storage GiB",NULL,"8IRCD9SI5GAS442V.LDQ4HEZ5","proj-helios-prod","helios-prod","BillingAccount","{""business_unit"": ""ViennaAI"", ""environment"": ""dev""}",NULL,"Recurring",NULL,"Object Storage",1.0313,0,1.7189
375.106496,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Simple Storage Service Bucket in US West (Oregon)","2024-09-14T00:00:00Z","2024-09-13T23:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,279.0400000000,"GB",441.30176,1.5815,375.106496,"AWS",580.6543360000001,2.0809,"Standard","USD",279.04,"GB","AWS","AWS","us-west-2","US West (Oregon)","arn:aws:ec2:us-west-2:123456789012:instance/i-00b357e228d0",NULL,"Bucket","Storage","Amazon Simple Storage Service","GNNQFKPL9EKA024S","Amazon Simple Storage Service GB",NULL,"COSS3EOQM1H8OJRJ.EDKTS2H3","663626350770","Zenith Apollo","BillingAccount","{""business_unit"": ""LisbonOps"", ""cost_center"": ""CC-2042""}",NULL,"Usage-Based",NULL,"Object Storage",1.5815,375.106496,2.0809
