"BillingCurrency","ContractCommitmentCategory","ContractCommitmentCost","ContractCommitmentDescription","ContractCommitmentId","ContractCommitmentPeriodEnd","ContractCommitmentPeriodStart","ContractCommitmentQuantity","ContractCommitmentType","ContractCommitmentUnit","ContractId","ContractPeriodEnd","ContractPeriodStart"
"USD","Spend",7364.712142,"ContractCommitmentDescription 9935","contractcommitment-191161","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5904.925124,"Reserved Instance","Hours","contract-198246","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",7160.196129,"ContractCommitmentDescription 9928","contractcommitment-539898","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2204.40622,"Committed Use Discount","Hours","contract-948749","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",2153.137621,"ContractCommitmentDescription 6514","contractcommitment-207175","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",927.458434,"Reserved Instance","Hours","contract-988662","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",5362.280915,"ContractCommitmentDescription 7201","contractcommitment-182627","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5520.406313,"Committed Use Discount","Hours","contract-705397","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",8553.17721,"ContractCommitmentDescription 2654","contractcommitment-498591","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2779.736031,"Committed Use Discount","Hours","contract-270555","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",6091.310057,"ContractCommitmentDescription 3803","contractcommitment-660086","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7291.26798,"Reserved Instance","Hours","contract-497887","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",8218.02594,"ContractCommitmentDescription 6168","contractcommitment-520651","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2677.40876,"Reserved Instance","Hours","contract-322955","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",1396.303195,"ContractCommitmentDescription 9830","contractcommitment-375504","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7470.138117,"Savings Plan","Hours","contract-479580","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",8611.029097,"ContractCommitmentDescription 3504","contractcommitment-757924","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1599.820017,"Committed Use Discount","Hours","contract-725380","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",9710.783776,"ContractCommitmentDescription 1188","contractcommitment-813328","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7207.218194,"Committed Use Discount","Hours","contract-887352","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",4537.237063,"ContractCommitmentDescription 5315","contractcommitment-624902","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7619.621991,"Committed Use Discount","Hours","contract-755674","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",7625.108001,"ContractCommitmentDescription 9837","contractcommitment-916449","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9224.340806,"Reserved Instance","Hours","contract-612340","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",2408.715924,"ContractCommitmentDescription 2290","contractcommitment-189814","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7319.075948,"Reserved Instance","Hours","contract-903035","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",2650.566289,"ContractCommitmentDescription 7932","contractcommitment-322086","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9289.13493,"Committed Use Discount","Hours","contract-847581","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
