"AllocatedMethodId","AllocatedResourceId","AllocatedResourceName","AllocatedTags","BilledCost","BillingAccountId","BillingAccountName","BillingAccountType","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","CapacityReservationId","CapacityReservationStatus","ChargeCategory","ChargeClass","ChargeDescription","ChargePeriodEnd","ChargePeriodStart","CommitmentDiscountCategory","CommitmentDiscountId","CommitmentDiscountName","CommitmentDiscountQuantity","CommitmentDiscountStatus","CommitmentDiscountType","CommitmentDiscountUnit","ConsumedQuantity","ConsumedUnit","ContractApplied","ContractedCost","ContractedUnitPrice","EffectiveCost","HostProviderName","InvoiceIssuerName","ListCost","ListUnitPrice","PricingCategory","PricingCurrency","PricingQuantity","PricingUnit","ProviderName","PublisherName","RegionId","RegionName","ResourceId","ResourceName","ResourceType","ServiceCategory","ServiceName","ServiceProviderName","SkuId","SkuMeter","SkuPriceDetails","SkuPriceId","SubAccountId","SubAccountName","SubAccountType","Tags","AllocatedMethodDetails","AvailabilityZone","ChargeFrequency","InvoiceId","ServiceSubcategory","PricingCurrencyContractedUnitPrice","PricingCurrencyEffectiveCost","PricingCurrencyListUnitPrice"
"AllocatedMethodId-3803","AllocatedResourceId-9751","AllocatedResourceName-5010","{}",468.17049576,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Elastic Compute Cloud Virtual Machine in Europe (Ireland)","2024-09-10T13:00:00Z","2024-09-10T12:00:00Z","Spend","cd-343962","commit-3962",NULL,"Used","Committed Use Discount",NULL,370.3400000000,"Hours",NULL,767.492616,2.0724,468.17049576,"AWS","AWS",1009.880146,2.7269,"Other","USD",370.34,"Hours","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-00c9715656c4",NULL,"Virtual Machine","Compute","Amazon Elastic Compute Cloud","AWS","1VRJNVGFYGWWQC38","Amazon Elastic Compute Cloud Hours",NULL,"HYF9SXMECOSFOGYR.3XKXWNRE","517389287820","Atlas Nimbus","BillingAccount","{""cost_center"": ""CC-2042"", ""team"": ""growth"", ""environment"": ""prod""}",NULL,NULL,"Usage-Based","INV-202409-89840","Virtual Machines",2.0724,468.17049576,2.7269
"AllocatedMethodId-9179","AllocatedResourceId-7482","AllocatedResourceName-8517","{}",567.7299576,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Tax",NULL,"Tax charge in UK South","2024-09-28T08:00:00Z","2024-09-28T07:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,567.7299576,NULL,567.7299576,"Microsoft","Microsoft",567.7299576,NULL,NULL,"USD",NULL,NULL,"Microsoft","Microsoft",NULL,NULL,NULL,NULL,NULL,"Other","Tax","Microsoft",NULL,NULL,NULL,NULL,"sub-2b7c","Staging","BillingProfile","{""business_unit"": ""MarseilleSRE"", ""application"": ""AtlasPortal""}",NULL,NULL,"One-Time","INV-202409-37869","Other (Security)",NULL,567.7299576,NULL
"AllocatedMethodId-2290","AllocatedResourceId-2403","AllocatedResourceName-8962","{}",537.520824,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Azure SQL Database SQL Database in West Europe","2024-09-24T23:00:00Z","2024-09-24T22:00:00Z","Usage","cd-245051","commit-5051",NULL,"Used","Reserved Instance",NULL,214.2200000000,"Hours",NULL,537.520824,2.5092,537.520824,"Microsoft","Microsoft",625.029694,2.9177,"Committed","USD",214.22,"Hours","Microsoft","Microsoft","westeurope","West Europe","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-232/providers/Microsoft.Compute/virtualMachines/vm-4598",NULL,"SQL Database","Databases","Azure SQL Database","Microsoft","EYY37Q9AH8RVHS1K","Azure SQL Database Hours",NULL,"3AQ6L6GT6MJXK87A.U5BHXTPD","sub-9a1f","Production","BillingProfile","{""owner"": ""g.hopper""}",NULL,NULL,"Usage-Based","INV-202409-41571","Relational Databases",2.5092,537.520824,2.9177
"AllocatedMethodId-2790","AllocatedResourceId-5073","AllocatedResourceName-4139","{}",326.31454032,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Elastic Load Balancing Load Balancer in US West (Oregon)","2024-09-29T04:00:00Z","2024-09-29T03:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,132.5400000000,"LCU-Hours",NULL,479.874324,3.6206,326.31454032,"AWS","AWS",578.165988,4.3622,"Standard","USD",132.54,"LCU-Hours","AWS","AWS","us-west-2","US West (Oregon)","arn:aws:ec2:us-west-2:123456789012:instance/i-008accf6c1b4",NULL,"Load Balancer","Networking","Elastic Load Balancing","AWS","HPOEVB9OOAEDOECV","Elastic Load Balancing LCU-Hours",NULL,"E6PR5N8I4P40MGG1.W103DGDZ","517389287820","Atlas Nimbus","BillingAccount","{""owner"": ""k.johnson""}",NULL,"eu-west-1c","Usage-Based","INV-202409-54473","Application Networking",3.6206,326.31454032,4.3622
"AllocatedMethodId-4346","AllocatedResourceId-6147","AllocatedResourceName-4910","{}",105.38183584,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Azure Functions Function App in UK South","2024-09-19T01:00:00Z","2024-09-19T00:00:00Z","Spend","cd-783823","commit-3823",NULL,"Used","Reserved Instance",NULL,437.2400000000,"Executions",NULL,112.10833600000001,0.2564,105.38183584,"Microsoft","Microsoft",164.83948,0.3770,"Standard","USD",437.24,"Executions","Microsoft","Microsoft","uksouth","UK South","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-361/providers/Microsoft.Compute/virtualMachines/vm-4810",NULL,"Function App","Compute","Azure Functions","Microsoft","DKYAYQ3S195JMSND","Azure Functions Executions",NULL,"8DUDD467KD6FLEEP.ZHPCF07U","sub-9a1f","Production","BillingProfile",NULL,NULL,"eastus-1","Usage-Based","INV-202409-44179","Serverless Compute",0.2564,105.38183584,0.3770
"AllocatedMethodId-3442","AllocatedResourceId-9938","AllocatedResourceName-1590","{}",7.1477152,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"BigQuery Dataset in Belgium","2024-09-20T13:00:00Z","2024-09-20T12:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.6700000000,"GiB",NULL,11.168305,2.3915,7.1477152,"Google","Google",14.504086,3.1058,"Standard","USD",4.67,"GiB","Google","Google","europe-west1","Belgium","//compute.googleapis.com/projects/helios-labs/zones/europe-west1-a/instances/inst-8665",NULL,"Dataset","Analytics","BigQuery","Google","K28T7A9TGIQHG9JR","BigQuery GiB",NULL,"SNVNQ65QDF1RCAVI.QK2919AH","proj-helios-dev","helios-dev","BillingAccount","{""business_unit"": ""ViennaAI""}",NULL,NULL,"Usage-Based","INV-202409-19862","Data Warehouses",2.3915,7.1477152,3.1058
"AllocatedMethodId-8149","AllocatedResourceId-9379","AllocatedResourceName-2894","{}",271.94846976,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Functions Function in Belgium","2024-09-06T11:00:00Z","2024-09-06T10:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,449.4600000000,"Invocations",NULL,424.919484,0.9454,271.94846976,"Google","Google",472.15772999999996,1.0505,"Standard","USD",449.46,"Invocations","Google","Google","europe-west1","Belgium","//compute.googleapis.com/projects/helios-labs/zones/europe-west1-a/instances/inst-4906",NULL,"Function","Compute","Cloud Functions","Google","0BLV0PRKGYC4OM3W","Cloud Functions Invocations",NULL,"TOOBMZVRERW6Z8VB.HQLQCG1W","proj-helios-dev","helios-dev","BillingAccount","{""cost_center"": ""CC-1001"", ""environment"": ""dev""}",NULL,NULL,"Usage-Based","INV-202409-51114","Serverless Compute",0.9454,271.94846976,1.0505
"AllocatedMethodId-3041","AllocatedResourceId-5920","AllocatedResourceName-9308","{}",796.1607765,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Tax",NULL,"Tax charge in US East (Ashburn)","2024-09-02T22:00:00Z","2024-09-02T21:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,796.1607765,NULL,796.1607765,"Oracle","Oracle",796.1607765,NULL,NULL,"USD",NULL,NULL,"Oracle","Oracle",NULL,NULL,NULL,NULL,NULL,"Other","Tax","Oracle",NULL,NULL,NULL,NULL,"ocid1.compartment.oc1..dev","development","Tenancy","{""team"": ""growth"", ""application"": ""AtlasPortal""}",NULL,NULL,"One-Time","INV-202409-96951","Other (Security)",NULL,796.1607765,NULL
"AllocatedMethodId-5930","AllocatedResourceId-7653","AllocatedResourceName-9977","{}",243.988362,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Tax",NULL,"Tax charge in Northern Virginia","2024-09-18T05:00:00Z","2024-09-18T04:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,243.988362,NULL,243.988362,"Google","Google",243.988362,NULL,NULL,"USD",NULL,NULL,"Google","Google",NULL,NULL,NULL,NULL,NULL,"Other","Tax","Google",NULL,NULL,NULL,NULL,"proj-helios-dev","helios-dev","BillingAccount",NULL,NULL,NULL,"One-Time","INV-202409-84593","Other (Security)",NULL,243.988362,NULL
"AllocatedMethodId-8777","AllocatedResourceId-8373","AllocatedResourceName-5246","{}",369.5357325,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Relational Database Service Database Instance in Europe (Ireland)","2024-09-19T09:00:00Z","2024-09-19T08:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,232.5000000000,"Hours",NULL,467.76674999999994,2.0119,369.5357325,"AWS","AWS",514.03425,2.2109,"Standard","USD",232.50,"Hours","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-00e8605f212a",NULL,"Database Instance","Databases","Amazon Relational Database Service","AWS","PTOMJBCP4E30MY5Z","Amazon Relational Database Service Hours",NULL,"PJAG1OL73D9PH3I3.79U26192","517389287820","Atlas Nimbus","BillingAccount","{""owner"": ""a.lovelace""}",NULL,"eu-west-1c","Usage-Based","INV-202409-30861","Relational Databases",2.0119,369.5357325,2.2109
