"AllocatedMethodId","AllocatedResourceId","AllocatedResourceName","AllocatedTags","BilledCost","BillingAccountId","BillingAccountName","BillingAccountType","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","CapacityReservationId","CapacityReservationStatus","ChargeCategory","ChargeClass","ChargeDescription","ChargePeriodEnd","ChargePeriodStart","CommitmentDiscountCategory","CommitmentDiscountId","CommitmentDiscountName","CommitmentDiscountQuantity","CommitmentDiscountStatus","CommitmentDiscountType","CommitmentDiscountUnit","ConsumedQuantity","ConsumedUnit","ContractApplied","ContractedCost","ContractedUnitPrice","EffectiveCost","HostProviderName","InvoiceId","InvoiceIssuerName","ListCost","ListUnitPrice","PricingCategory","PricingCurrency","PricingQuantity","PricingUnit","ProviderName","PublisherName","RegionId","RegionName","ResourceId","ResourceName","ResourceType","ServiceCategory","ServiceName","ServiceProviderName","SkuId","SkuMeter","SkuPriceDetails","SkuPriceId","SubAccountId","SubAccountName","SubAccountType","Tags","AllocatedMethodDetails","AvailabilityZone","ChargeFrequency","ServiceSubcategory","PricingCurrencyContractedUnitPrice","PricingCurrencyEffectiveCost","PricingCurrencyListUnitPrice","CommitmentProgramEligibilityDetails","InvoiceDetailId"
"AllocatedMethodId-3803","AllocatedResourceId-9751","AllocatedResourceName-5010","{}",468.17049576,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Elastic Compute Cloud Virtual Machine in Europe (Ireland)","2024-09-10T13:00:00Z","2024-09-10T12:00:00Z","Spend","cd-343962","commit-3962",NULL,"Used","Committed Use Discount",NULL,370.3400000000,"Hours",NULL,767.492616,2.0724,468.17049576,"AWS","INV-202409-89840","AWS",1009.880146,2.7269,"Other","USD",370.34,"Hours","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-00c9715656c4",NULL,"Virtual Machine","Compute","Amazon Elastic Compute Cloud","AWS","1VRJNVGFYGWWQC38","Amazon Elastic Compute Cloud Hours",NULL,"HYF9SXMECOSFOGYR.3XKXWNRE","517389287820","Atlas Nimbus","BillingAccount","{""cost_center"": ""CC-2042"", ""team"": ""growth"", ""environment"": ""prod""}",NULL,NULL,"Usage-Based","Virtual Machines",2.0724,468.17049576,2.7269,NULL,NULL
"AllocatedMethodId-9179","AllocatedResourceId-7482","AllocatedResourceName-8517","{}",567.7299576,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Tax",NULL,"Tax charge in UK South","2024-09-28T08:00:00Z","2024-09-28T07:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.2871590000,NULL,567.7299576,"Microsoft","INV-202409-37869","Microsoft",13.9630320000,NULL,NULL,"USD",NULL,NULL,"Microsoft","Microsoft",NULL,NULL,NULL,NULL,NULL,"Other","Tax","Microsoft",NULL,NULL,NULL,NULL,"sub-2b7c","Staging","BillingProfile","{""business_unit"": ""MarseilleSRE"", ""application"": ""AtlasPortal""}",NULL,NULL,"One-Time","Other (Security)",NULL,567.7299576,NULL,NULL,NULL
"AllocatedMethodId-3060","AllocatedResourceId-3103","AllocatedResourceName-8787","{}",72.6400224,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Load Balancing Forwarding Rule in Northern Virginia","2024-09-16T11:00:00Z","2024-09-16T10:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,254.7700000000,"Hours",NULL,113.50003500000001,0.4455,72.6400224,"Google","INV-202409-79822","Google",115.818442,0.4546,"Standard","USD",254.77,"Hours","Google","Google","us-east4","Northern Virginia","//compute.googleapis.com/projects/Helios Labs/zones/us-east4-a/instances/inst-3809",NULL,"Forwarding Rule","Networking","Cloud Load Balancing","Google","Q9AH8RVHS1K3AQ6L","Cloud Load Balancing Hours",NULL,"6GT6MJXK87AU5BHX.TPDPFF5E","proj-helios-dev","helios-dev","BillingAccount","{""cost_center"": ""CC-2042"", ""application"": ""NimbusAPI""}",NULL,NULL,"Usage-Based","Application Networking",0.4455,72.6400224,0.4546,NULL,NULL
"AllocatedMethodId-9786","AllocatedResourceId-8350","AllocatedResourceName-3296","{}",389.383104,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Adjustment",NULL,"Azure SQL Database SQL Database in UK South","2024-09-24T01:00:00Z","2024-09-24T00:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,519.177472,1.4564,389.383104,"Microsoft","INV-202409-34931","Microsoft",711.1776000000001,1.9950,"Standard","USD",356.48,"Hours","Microsoft","Microsoft","uksouth","UK South",NULL,NULL,NULL,"Databases","Azure SQL Database","Microsoft","VB9OOAEDOECVE6PR","Azure SQL Database Hours",NULL,"5N8I4P40MGG1W103.DGDZVGPM","sub-9a1f","Production","BillingProfile","{""environment"": ""prod""}",NULL,NULL,"One-Time","Relational Databases",1.4564,389.383104,1.9950,NULL,NULL
"AllocatedMethodId-3144","AllocatedResourceId-5915","AllocatedResourceName-8491","{}",75.96016704,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Object Storage Bucket in UK South (London)","2024-09-11T16:00:00Z","2024-09-11T15:00:00Z","Spend","cd-197793","commit-7793",NULL,"Unused","Reserved Instance",NULL,NULL,NULL,NULL,124.52486400000001,2.5434,75.96016704,"Oracle","INV-202409-61876","Oracle",159.64876800000002,3.2608,"Committed","USD",48.96,"GB","Oracle","Oracle","uk-london-1","UK South (London)","ocid1.instance.oc1.uk-london-1.007b44b41b48",NULL,"Bucket","Storage","Oracle Object Storage","Oracle","Q3S195JMSND8DUDD","Oracle Object Storage GB",NULL,"467KD6FLEEPZHPCF.07UQNUPQ","ocid1.compartment.oc1..dev","development","Tenancy","{""team"": ""platform""}",NULL,"us-ashburn-1-AD-1","Usage-Based","Object Storage",2.5434,75.96016704,3.2608,NULL,NULL
"AllocatedMethodId-5088","AllocatedResourceId-2684","AllocatedResourceName-6794","{}",478.0211004,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Compute Engine VM Instance in Iowa","2024-09-27T13:00:00Z","2024-09-27T12:00:00Z","Usage","cd-356150","commit-6150",NULL,"Used","Savings Plan",NULL,268.8200000000,"Hours",NULL,645.97446,2.4030,478.0211004,"Google","INV-202409-37535","Google",679.98019,2.5295,"Standard","USD",268.82,"Hours","Google","Google","us-central1","Iowa","//compute.googleapis.com/projects/Helios Labs/zones/us-central1-a/instances/inst-9115",NULL,"VM Instance","Compute","Compute Engine","Google","JRSNVNQ65QDF1RCA","Compute Engine Hours",NULL,"VIQK2919AHEJ8CX9.J1ICTXCW","proj-helios-dev","helios-dev","BillingAccount","{""owner"": ""k.johnson"", ""business_unit"": ""ViennaAI"", ""application"": ""BrightSourceCore""}",NULL,"us-central1-a","Usage-Based","Virtual Machines",2.4030,478.0211004,2.5295,NULL,NULL
"AllocatedMethodId-2146","AllocatedResourceId-6409","AllocatedResourceName-6143","{}",28.3112104,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Load Balancer Load Balancer in Australia East (Sydney)","2024-09-11T03:00:00Z","2024-09-11T02:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,440.7100000000,"Hours",NULL,38.78247999999999,0.0880,28.3112104,"Oracle","INV-202409-66531","Oracle",54.648039999999995,0.1240,"Standard","USD",440.71,"Hours","Oracle","Oracle","ap-sydney-1","Australia East (Sydney)","ocid1.instance.oc1.ap-sydney-1.004a81685281",NULL,"Load Balancer","Networking","Oracle Load Balancer","Oracle","3WTOOBMZVRERW6Z8","Oracle Load Balancer Hours",NULL,"VBHQLQCG1WU16HYM.QC1A78MX","ocid1.compartment.oc1..prod","production","Tenancy","{""environment"": ""prod"", ""business_unit"": ""LisbonOps"", ""owner"": ""a.lovelace""}",NULL,NULL,"Usage-Based","Application Networking",0.0880,28.3112104,0.1240,NULL,NULL
"AllocatedMethodId-9486","AllocatedResourceId-8611","AllocatedResourceName-1822","{}",889.0600830000001,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Purchase",NULL,"AWS Lambda Function in Europe (Ireland)","2024-09-14T05:00:00Z","2024-09-14T04:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,889.0600830000001,2.5503,0,"AWS","INV-202409-33053","AWS",966.381781,2.7721,"Dynamic","USD",348.61,"Requests","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-00a3b06b72d5",NULL,"Function","Compute","AWS Lambda","AWS","ATSN1U322N64KFS6","AWS Lambda Requests",NULL,"VFPTOMJBCP4E30MY.5ZPJAG1O","663626350770","Zenith Apollo","BillingAccount","{""cost_center"": ""CC-3090""}",NULL,NULL,"Recurring","Serverless Compute",2.5503,0,2.7721,NULL,NULL
"AllocatedMethodId-1475","AllocatedResourceId-7371","AllocatedResourceName-6507","{}",905.128973,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Purchase",NULL,"Virtual Machines Virtual Machine in UK South","2024-09-20T20:00:00Z","2024-09-20T19:00:00Z","Usage","cd-854213","commit-4213",NULL,"Unused","Committed Use Discount",NULL,NULL,NULL,NULL,905.128973,3.0401,0,"Microsoft","INV-202409-73654","Microsoft",1414.2770460000002,4.7502,"Committed","USD",297.73,"Hours","Microsoft","Microsoft","uksouth","UK South","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-207/providers/Microsoft.Compute/virtualMachines/vm-1602",NULL,"Virtual Machine","Compute","Virtual Machines","Microsoft","ESPRVU8FIJOYJNE0","Virtual Machines Hours",NULL,"0V830DN0YBY4AWTY.088O5OR1","sub-9a1f","Production","BillingProfile","{""team"": ""payments"", ""owner"": ""k.johnson"", ""business_unit"": ""LisbonOps""}",NULL,NULL,"One-Time","Virtual Machines",3.0401,0,4.7502,NULL,NULL
"AllocatedMethodId-5941","AllocatedResourceId-2983","AllocatedResourceName-1672","{}",732.7757514,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage","Correction","Oracle Object Storage Bucket in UK South (London)","2024-09-27T14:00:00Z","2024-09-27T13:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,295.9500000000,"GB",NULL,951.6568199999999,3.2156,732.7757514,"Oracle","INV-202409-23356","Oracle",981.0742499999999,3.3150,"Dynamic","USD",295.95,"GB","Oracle","Oracle","uk-london-1","UK South (London)","ocid1.instance.oc1.uk-london-1.008b7ea6465c",NULL,"Bucket","Storage","Oracle Object Storage","Oracle","UVYR0QF4B8DWOECB","Oracle Object Storage GB",NULL,"PMBJPI4HN3QXKHKT.GBTYZMEP","ocid1.compartment.oc1..prod","production","Tenancy",NULL,NULL,"uk-london-1-AD-2","Usage-Based","Object Storage",3.2156,732.7757514,3.3150,NULL,NULL
