"BillingPeriodCreated","BillingPeriodEnd","BillingPeriodLastUpdated","BillingPeriodStart","BillingPeriodStatus","InvoiceIssuerName"
"2024-08-31T00:00:00Z","2024-10-01T00:00:00Z","2024-10-05T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-14T00:00:00Z","2024-10-01T00:00:00Z","2024-10-02T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-29T00:00:00Z","2024-10-01T00:00:00Z","2024-10-04T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-14T00:00:00Z","2024-10-01T00:00:00Z","2024-10-07T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-26T00:00:00Z","2024-10-01T00:00:00Z","2024-10-07T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-21T00:00:00Z","2024-10-01T00:00:00Z","2024-10-02T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-20T00:00:00Z","2024-10-01T00:00:00Z","2024-10-10T00:00:00Z","2024-09-01T00:00:00Z","Closed","Google"
"2024-08-19T00:00:00Z","2024-10-01T00:00:00Z","2024-10-02T00:00:00Z","2024-09-01T00:00:00Z","Closed","AWS"
"2024-08-29T00:00:00Z","2024-10-01T00:00:00Z","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-28T00:00:00Z","2024-10-01T00:00:00Z","2024-10-07T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-20T00:00:00Z","2024-10-01T00:00:00Z","2024-10-06T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-12T00:00:00Z","2024-10-01T00:00:00Z","2024-10-11T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-17T00:00:00Z","2024-10-01T00:00:00Z","2024-10-07T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-30T00:00:00Z","2024-10-01T00:00:00Z","2024-10-04T00:00:00Z","2024-09-01T00:00:00Z","Closed","Google"
"2024-08-29T00:00:00Z","2024-10-01T00:00:00Z","2024-10-04T00:00:00Z","2024-09-01T00:00:00Z","Closed","Google"
"2024-08-16T00:00:00Z","2024-10-01T00:00:00Z","2024-10-07T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-24T00:00:00Z","2024-10-01T00:00:00Z","2024-10-09T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-20T00:00:00Z","2024-10-01T00:00:00Z","2024-10-04T00:00:00Z","2024-09-01T00:00:00Z","Closed","Oracle"
"2024-08-30T00:00:00Z","2024-10-01T00:00:00Z","2024-10-02T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-12T00:00:00Z","2024-10-01T00:00:00Z","2024-10-02T00:00:00Z","2024-09-01T00:00:00Z","Closed","Oracle"
"2024-08-14T00:00:00Z","2024-10-01T00:00:00Z","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Closed","Google"
"2024-08-28T00:00:00Z","2024-10-01T00:00:00Z","2024-10-05T00:00:00Z","2024-09-01T00:00:00Z","Closed","Google"
"2024-08-23T00:00:00Z","2024-10-01T00:00:00Z","2024-10-09T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-15T00:00:00Z","2024-10-01T00:00:00Z","2024-10-10T00:00:00Z","2024-09-01T00:00:00Z","Closed","Google"
"2024-08-14T00:00:00Z","2024-10-01T00:00:00Z","2024-10-09T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-31T00:00:00Z","2024-10-01T00:00:00Z","2024-10-02T00:00:00Z","2024-09-01T00:00:00Z","Open","Oracle"
"2024-08-24T00:00:00Z","2024-10-01T00:00:00Z","2024-10-10T00:00:00Z","2024-09-01T00:00:00Z","Closed","AWS"
"2024-08-14T00:00:00Z","2024-10-01T00:00:00Z","2024-10-03T00:00:00Z","2024-09-01T00:00:00Z","Closed","AWS"
"2024-08-23T00:00:00Z","2024-10-01T00:00:00Z","2024-10-09T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-22T00:00:00Z","2024-10-01T00:00:00Z","2024-10-07T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-24T00:00:00Z","2024-10-01T00:00:00Z","2024-10-04T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-13T00:00:00Z","2024-10-01T00:00:00Z","2024-10-04T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-29T00:00:00Z","2024-10-01T00:00:00Z","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-16T00:00:00Z","2024-10-01T00:00:00Z","2024-10-04T00:00:00Z","2024-09-01T00:00:00Z","Closed","Google"
"2024-08-16T00:00:00Z","2024-10-01T00:00:00Z","2024-10-07T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-20T00:00:00Z","2024-10-01T00:00:00Z","2024-10-07T00:00:00Z","2024-09-01T00:00:00Z","Open","Oracle"
"2024-08-30T00:00:00Z","2024-10-01T00:00:00Z","2024-10-07T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-25T00:00:00Z","2024-10-01T00:00:00Z","2024-10-09T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-23T00:00:00Z","2024-10-01T00:00:00Z","2024-10-08T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-30T00:00:00Z","2024-10-01T00:00:00Z","2024-10-11T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-26T00:00:00Z","2024-10-01T00:00:00Z","2024-10-07T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-30T00:00:00Z","2024-10-01T00:00:00Z","2024-10-03T00:00:00Z","2024-09-01T00:00:00Z","Closed","Oracle"
"2024-08-17T00:00:00Z","2024-10-01T00:00:00Z","2024-10-05T00:00:00Z","2024-09-01T00:00:00Z","Closed","Google"
"2024-08-25T00:00:00Z","2024-10-01T00:00:00Z","2024-10-05T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-30T00:00:00Z","2024-10-01T00:00:00Z","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Open","Google"
"2024-08-15T00:00:00Z","2024-10-01T00:00:00Z","2024-10-02T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-19T00:00:00Z","2024-10-01T00:00:00Z","2024-10-02T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-18T00:00:00Z","2024-10-01T00:00:00Z","2024-10-11T00:00:00Z","2024-09-01T00:00:00Z","Closed","AWS"
"2024-08-25T00:00:00Z","2024-10-01T00:00:00Z","2024-10-11T00:00:00Z","2024-09-01T00:00:00Z","Closed","Google"
"2024-08-27T00:00:00Z","2024-10-01T00:00:00Z","2024-10-11T00:00:00Z","2024-09-01T00:00:00Z","Closed","Oracle"
"2024-08-31T00:00:00Z","2024-10-01T00:00:00Z","2024-10-08T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-14T00:00:00Z","2024-10-01T00:00:00Z","2024-10-04T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-29T00:00:00Z","2024-10-01T00:00:00Z","2024-10-04T00:00:00Z","2024-09-01T00:00:00Z","Open","Google"
"2024-08-14T00:00:00Z","2024-10-01T00:00:00Z","2024-10-05T00:00:00Z","2024-09-01T00:00:00Z","Open","Oracle"
"2024-08-28T00:00:00Z","2024-10-01T00:00:00Z","2024-10-03T00:00:00Z","2024-09-01T00:00:00Z","Open","Google"
"2024-08-23T00:00:00Z","2024-10-01T00:00:00Z","2024-10-05T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-23T00:00:00Z","2024-10-01T00:00:00Z","2024-10-09T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-18T00:00:00Z","2024-10-01T00:00:00Z","2024-10-05T00:00:00Z","2024-09-01T00:00:00Z","Closed","AWS"
"2024-08-23T00:00:00Z","2024-10-01T00:00:00Z","2024-10-03T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-28T00:00:00Z","2024-10-01T00:00:00Z","2024-10-02T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-13T00:00:00Z","2024-10-01T00:00:00Z","2024-10-09T00:00:00Z","2024-09-01T00:00:00Z","Open","Google"
"2024-08-22T00:00:00Z","2024-10-01T00:00:00Z","2024-10-06T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-28T00:00:00Z","2024-10-01T00:00:00Z","2024-10-06T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-26T00:00:00Z","2024-10-01T00:00:00Z","2024-10-03T00:00:00Z","2024-09-01T00:00:00Z","Open","Microsoft"
"2024-08-18T00:00:00Z","2024-10-01T00:00:00Z","2024-10-11T00:00:00Z","2024-09-01T00:00:00Z","Open","Google"
"2024-08-19T00:00:00Z","2024-10-01T00:00:00Z","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Open","AWS"
"2024-08-20T00:00:00Z","2024-10-01T00:00:00Z","2024-10-05T00:00:00Z","2024-09-01T00:00:00Z","Open","Oracle"
"2024-08-19T00:00:00Z","2024-10-01T00:00:00Z","2024-10-06T00:00:00Z","2024-09-01T00:00:00Z","Closed","Microsoft"
"2024-08-15T00:00:00Z","2024-10-01T00:00:00Z","2024-10-07T00:00:00Z","2024-09-01T00:00:00Z","Open","Google"
