"BillingCurrency","ContractCommitmentApplicability","ContractCommitmentBenefitCategory","ContractCommitmentCategory","ContractCommitmentCost","ContractCommitmentCreated","ContractCommitmentDescription","ContractCommitmentDiscountPercentage","ContractCommitmentDurationType","ContractCommitmentFulfillmentInterval","ContractCommitmentId","ContractCommitmentLastUpdated","ContractCommitmentLifecycleStatus","ContractCommitmentModel","ContractCommitmentOfferCategory","ContractCommitmentPaymentInterval","ContractCommitmentPaymentModel","ContractCommitmentPaymentUpfrontPercentage","ContractCommitmentPeriodEnd","ContractCommitmentPeriodStart","ContractCommitmentQuantity","ContractCommitmentType","ContractCommitmentUnit","ContractId","ContractPeriodEnd","ContractPeriodStart","InvoiceIssuerName","PricingCurrency","PricingCurrencyContractCommitmentCost","ServiceProviderName"
"USD","{}","Entitlement","Spend",6766.994874,"2024-08-31T00:00:00Z","ContractCommitmentDescription 9935",869.388326,"Savings Plan","Hourly","contractcommitment-131244","2024-10-05T00:00:00Z","Proposed","Continuous","Negotiated","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1988.376507,"Committed Use Discount","Hours","contract-539898","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",2204.40622,"AWS"
"USD","{}","Availability","Spend",2153.137621,"2024-08-31T00:00:00Z","ContractCommitmentDescription 6514",NULL,"Savings Plan","Daily","contractcommitment-476417","2024-10-03T00:00:00Z","Superseded","Discontinuous","Public","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1248.261629,"Savings Plan","Hours","contract-678856","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",2931.782814,"Google"
"USD","{}","Entitlement","Usage",9852.215207,"2024-08-13T00:00:00Z","ContractCommitmentDescription 4814",8664.836668,"Savings Plan","Quarterly","contractcommitment-575435","2024-10-04T00:00:00Z","Canceled","Discontinuous","Negotiated","Quarterly","Partial Upfront",2095.070308,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2669.77822,"Committed Use Discount","Hours","contract-738720","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",6349.782882,"Google"
"USD","{}","Entitlement","Usage",8428.519202,"2024-08-26T00:00:00Z","ContractCommitmentDescription 1916",2290.48072,"Reserved Instance","Semi-Annually","contractcommitment-520651","2024-10-08T00:00:00Z","Active","Continuous","Negotiated","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6554.386653,"Savings Plan","Hours","contract-249811","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",2648.801665,"Microsoft"
"USD","{}","Other","Usage",3619.964437,"2024-08-14T00:00:00Z","ContractCommitmentDescription 3266",5095.262937,"Reserved Instance","Hourly","contractcommitment-214975","2024-10-09T00:00:00Z","Pending","Continuous","Public","Annual","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5958.884284,"Savings Plan","Hours","contract-363626","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",9710.783776,"Microsoft"
"USD","{}","Availability","Spend",2935.001286,"2024-08-28T00:00:00Z","ContractCommitmentDescription 3591",NULL,"Committed Use Discount","Quarterly","contractcommitment-624902","2024-10-11T00:00:00Z","Superseded","Continuous","Negotiated","Custom","Partial Upfront",8416.693482,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5076.62882,"Reserved Instance","Hours","contract-492077","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",7625.108001,"AWS"
"USD","{}","Discount","Usage",8787.218778,"2024-08-12T00:00:00Z","ContractCommitmentDescription 6038",2394.523103,"Reserved Instance","Custom","contractcommitment-182582","2024-10-06T00:00:00Z","Proposed","Discontinuous","Negotiated","Annual","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4752.823781,"Committed Use Discount","Hours","contract-377932","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",5276.737874,"AWS"
"USD","{}","Availability","Usage",9951.493567,"2024-08-25T00:00:00Z","ContractCommitmentDescription 7118",NULL,"Committed Use Discount","Total Term","contractcommitment-226882","2024-10-09T00:00:00Z","Pending","Continuous","Negotiated","Quarterly","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2301.147326,"Reserved Instance","Hours","contract-174441","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Oracle","USD",7078.409465,"Oracle"
"USD","{}","Discount","Spend",2784.77264,"2024-08-24T00:00:00Z","ContractCommitmentDescription 8953",2142.368074,"Reserved Instance","Custom","contractcommitment-704201","2024-10-02T00:00:00Z","Exhausted","Continuous","Public","Semi-Annual","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6589.827495,"Savings Plan","Hours","contract-531071","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",4670.24668,"AWS"
"USD","{}","Availability","Spend",2486.563339,"2024-08-28T00:00:00Z","ContractCommitmentDescription 4116",NULL,"Reserved Instance","Annually","contractcommitment-292401","2024-10-01T00:00:00Z","Active","Discontinuous","Negotiated","One-Time","Partial Upfront",8080.222447,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8559.668925,"Reserved Instance","Hours","contract-783823","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",9992.824684,"AWS"
