"BilledCost","BillingAccountId","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","ChargeCategory","InvoiceDetailCreated","InvoiceDetailDescription","InvoiceDetailGrain","InvoiceDetailId","InvoiceDetailLastUpdated","InvoiceId","InvoiceIssueDate","InvoiceIssueStatus","InvoiceIssuerName","PaymentCurrency","PaymentCurrencyBilledCost","PaymentCurrencyInvoiceDetailId","PaymentDueDate","PaymentTerms","PurchaseOrderNumber","ReferenceInvoiceId"
1395.379285,"billingaccount-207473","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-31T00:00:00Z","InvoiceDetailDescription 2424","{}","invoicedetail-719176","2024-10-05T00:00:00Z","invoice-542417","2024-10-03T00:00:00Z","Open","AWS","USD",297.972194,"invoicedetail-719176","2024-10-17T00:00:00Z","Net 30","PO-343962","referenceinvoice-629903"
2204.40622,"billingaccount-717889","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-14T00:00:00Z","InvoiceDetailDescription 1106","{}","invoicedetail-895667","2024-10-04T00:00:00Z","invoice-944962","2024-10-06T00:00:00Z","Open","AWS","USD",6981.39395,"invoicedetail-895667","2024-10-26T00:00:00Z","Net 60","PO-391369","referenceinvoice-263032"
967.163768,"billingaccount-988662","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-21T00:00:00Z","InvoiceDetailDescription 5333","{}","invoicedetail-946335","2024-10-02T00:00:00Z","invoice-145561","2024-10-02T00:00:00Z","Voided","Microsoft","USD",4594.248797,"invoicedetail-946335","2024-10-21T00:00:00Z","Net 30","PO-496922","referenceinvoice-182627"
7045.718362,"billingaccount-148050","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-12T00:00:00Z","InvoiceDetailDescription 5741","{}","invoicedetail-183667","2024-10-06T00:00:00Z","invoice-996865","2024-10-06T00:00:00Z","Open","Google","USD",8664.836668,"invoicedetail-183667","2024-10-19T00:00:00Z","Net 60","PO-391476","referenceinvoice-575435"
6701.751744,"billingaccount-835911","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-26T00:00:00Z","InvoiceDetailDescription 3803","{}","invoicedetail-660086","2024-10-06T00:00:00Z","invoice-864544","2024-10-04T00:00:00Z","Open","Google","USD",1634.024938,"invoicedetail-660086","2024-10-17T00:00:00Z","Net 60","PO-383060","referenceinvoice-771088"
8050.458008,"billingaccount-520651","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-21T00:00:00Z","InvoiceDetailDescription 2084","{}","invoicedetail-321231","2024-10-01T00:00:00Z","invoice-694731","2024-10-03T00:00:00Z","Voided","Microsoft","USD",3146.778808,"invoicedetail-321231","2024-10-11T00:00:00Z","Due on receipt","PO-623481","referenceinvoice-514850"
7449.889821,"billingaccount-665158","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-27T00:00:00Z","InvoiceDetailDescription 8019","{}","invoicedetail-711878","2024-10-05T00:00:00Z","invoice-518801","2024-10-03T00:00:00Z","Issued","Oracle","USD",2193.207592,"invoicedetail-711878","2024-10-17T00:00:00Z","Net 30","PO-634277","referenceinvoice-617488"
1599.820017,"billingaccount-813536","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-30T00:00:00Z","InvoiceDetailDescription 2040","{}","invoicedetail-503457","2024-10-02T00:00:00Z","invoice-500156","2024-10-03T00:00:00Z","Voided","AWS","USD",9961.213802,"invoicedetail-503457","2024-10-30T00:00:00Z","Due on receipt","PO-363626","referenceinvoice-680099"
7685.987327,"billingaccount-456699","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-28T00:00:00Z","InvoiceDetailDescription 5808","{}","invoicedetail-555884","2024-10-11T00:00:00Z","invoice-265840","2024-10-06T00:00:00Z","Issued","AWS","USD",32.453161,"invoicedetail-555884","2024-10-21T00:00:00Z","Due on receipt","PO-854639","referenceinvoice-376183"
5076.62882,"billingaccount-308573","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-15T00:00:00Z","InvoiceDetailDescription 7126","{}","invoicedetail-899550","2024-10-02T00:00:00Z","invoice-269396","2024-10-04T00:00:00Z","Voided","Microsoft","USD",9534.997477,"invoicedetail-899550","2024-10-31T00:00:00Z","Due on receipt","PO-100599","referenceinvoice-728038"
